RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-04-30,2023-06-30,2024-03-31
99387,1599,97701,zip,OR,OR,Bend,"Bend, OR",Deschutes County,2023-03-31,-0.4,-0.7,1.5
69361,1601,27502,zip,NC,NC,Apex,"Raleigh-Cary, NC",Wake County,2023-03-31,-0.1,-0.4,1.4
90652,1602,75050,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,2023-03-31,-0.1,-0.5,0.7
98480,1603,95926,zip,CA,CA,Chico,"Chico, CA",Butte County,2023-03-31,-0.3,-0.8,-0.8
69221,1604,27127,zip,NC,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2023-03-31,0.7,1.0,3.5
97850,1606,94804,zip,CA,CA,Richmond,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2023-03-31,-0.6,-1.4,-2.1
79784,1607,49508,zip,MI,MI,Kentwood,"Grand Rapids-Kentwood, MI",Kent County,2023-03-31,0.5,0.7,2.0
78822,1608,47905,zip,IN,IN,Lafayette,"Lafayette-West Lafayette, IN",Tippecanoe County,2023-03-31,0.5,0.4,1.8
81411,1609,53590,zip,WI,WI,Sun Prairie,"Madison, WI",Dane County,2023-03-31,0.5,0.6,0.7
97572,1610,94118,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,2023-03-31,-0.7,-1.8,-1.8
76463,1611,43016,zip,OH,OH,Dublin,"Columbus, OH",Franklin County,2023-03-31,0.3,0.4,2.1
61648,1612,10034,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,2023-03-31,-0.5,-0.1,-0.8
